acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
amd-ucode 20200519.8ba6fa6-1
aom 1.0.0.errata1+avif-1
arch-install-scripts 23-2
archlinux-keyring 20200422-1
argon2 20190702-3
arm-none-eabi-binutils 2.34-1
arm-none-eabi-gcc 10.1.0-1
arm-none-eabi-newlib 3.3.0-1
asciidoc 8.6.10-2
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
autoconf-archive 1:2019.01.06-1
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
avr-binutils 2.34-2
avr-gcc 8.3.0-1
avr-libc 2.0.0-3
avrdude 1:6.3-6
base 2-2
bash 5.0.017-1
binutils 2.34-5
bison 3.6.2-1
boost-libs 1.72.0-2
bridge-utils 1.6-4
brotli 1.0.7-3
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.53-1
ca-certificates-utils 20181109-3
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
cava 0.7.0-2
clang 10.0.0-3
clucene 2.3.3.4-11
cmake 3.17.3-1
colord 1.4.4+9+g1ce26da-2
compiler-rt 10.0.0-1
confuse 3.2.2-1
containerd 1.3.4-2
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.3-1
curl 7.70.0-1
dav1d 0.7.0-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-2
dconf 0.36.0-1
desktop-file-utils 0.24-2
device-mapper 2.02.187-2
dfu-programmer 0.7.2-3
dfu-util 0.9-2
dhcpcd 9.0.2-1
diffutils 3.7-3
discord 0.0.10-3
dmenu 4.9-1
dnssec-anchors 20190629-2
docbook-xml 4.5-9
docbook-xsl 1.79.2-6
docker 1:19.03.10-1
double-conversion 3.1.5-2
e2fsprogs 1.45.6-2
elfutils 0.179-1
expat 2.2.9-3
fakeroot 1.24-2
feh 3.4.1-1
ffmpeg 1:4.2.3-2
fftw 3.3.8-3
file 5.38-3
filesystem 2020.05.20-1
findutils 4.7.0-2
firefox 76.0.1-1
flac 1.3.3-2
flex 2.6.4-3
fontconfig 2:2.13.91+24+g75eadca-2
freetype2 2.10.2-1
fribidi 1.0.9-1
fzf 0.21.1-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.1.0-2
gcc-libs 10.1.0-2
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
gettext 0.20.2-1
giflib 5.2.1-2
git 2.26.2-1
glib-networking 2.64.3-1
glib2 2.64.3-2
glib2-docs 2.64.3-2
glibc 2.31-5
glibmm 2.64.2-1
gmp 6.2.0-1
gnome-common 3.18.0-4
gnupg 2.2.20-2
gnutls 3.6.13-2
go 2:1.14.3-1
gobject-introspection 1.64.1-2
gobject-introspection-runtime 1.64.1-2
gpgme 1.13.1-7
gpm 1.20.7.r27.g1fd1941-2
graphite 1:1.3.14-1
grep 3.4-1
groff 1.22.4-3
gsettings-desktop-schemas 3.36.1-1
gsm 1.0.19-1
gtk-doc 1.32+37+gefc3644-1
gtk-update-icon-cache 1:3.24.20-1
gtk3 1:3.24.20-1
gtkmm3 3.24.2-2
guile 2.2.6-2
gzip 1.10-3
harfbuzz 2.6.6-1
harfbuzz-icu 2.6.6-1
hicolor-icon-theme 0.17-2
hunspell 1.7.0-3
hwids 20200306-1
hwloc 2.2.0-1
hyphen 2.8.8-3
i3-gaps 4.18.1-2
i3status 2.13-2
iana-etc 20200511-1
icu 67.1-1
imagemagick 7.0.10.16-2
imlib2 1.6.1-2
inetutils 1.9.4-8
iniparser 4.1-2
intltool 0.51.0-5
iproute2 5.6.0-1
iptables 1:1.8.4-1
iputils 20190709-2
iso-codes 4.4-2
itstool 1:2.0.6-2
jack 0.125.0-9
jasper 2.0.16-2
java-runtime-common 3-3
jemalloc 1:5.2.1-2
jre-openjdk 14.0.1.u7-1
jre-openjdk-headless 14.0.1.u7-1
jre8-openjdk-headless 8.u252-1
js60 60.9.0-2
json-c 0.14-4
json-glib 1.4.4-2
jsoncpp 1.9.2-1
kbd 2.2.0-5
keyutils 1.6.1-4
kitty 0.17.4-1
kitty-terminfo 0.17.4-1
kmod 27-1
krb5 1.18.1-1
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.9-3
ldns 1.7.1-2
less 551-3
libabw 0.1.3-2
libaio 0.3.112-2
libarchive 3.4.3-1
libass 0.14.0-2
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-3
libatomic_ops 7.6.10-2
libavc1394 0.5.4-4
libbluray 1.2.0-3
libbsd 0.10.0-2
libcanberra 0.30+2+gc0620e4-3
libcanberra-pulse 0.30+2+gc0620e4-3
libcap 2.34-1
libcap-ng 0.7.10-1
libcdr 0.1.6-2
libcmis 0.5.2-4
